Nom de la chaîne,Satellite,Fréquence,Polarisation,Symbol Rate,Type Service,Type Vidéo
Bibel TV HD,Astra1,11244,0,22000,0,27
Bloomberg Europe TV,Astra1,12604,0,22000,0,2
CALLE 13,Astra1,10876,1,22000,0,2
CANAL J,Astra1,11856,1,29700,0,27
CANAL SUR A.,Astra1,11156,1,22000,0,2
CANAL VOD,Astra1,12363,1,27500,0,2
CANAL+,Astra1,11934,1,29700,0,27
CANAL+,Astra1,11934,1,29700,0,27
CANAL+,Astra1,12012,1,29700,0,27
CANAL+ Action,Astra1,12515,0,22000,0,27
CANAL+ UHD HDR,Astra1,12728,1,23500,0,36
CANAL+BOX OFFICE,Astra1,11856,1,29700,0,27
CANAL+BOX OFFICE,Astra1,12012,1,29700,0,27
CANAL+BOX OFFICE UHD,Astra1,12207,1,29700,0,36
CANAL+CINEMA.S,Astra1,12012,1,29700,0,27
CANAL+DOCS,Astra1,11934,1,29700,0,27
CANAL+FOOT,Astra1,12012,1,29700,0,27
CANAL+GRAND ECRAN,Astra1,11895,1,29700,0,27
CANAL+LIVE 1,Astra1,11856,1,29700,0,27
CANAL+LIVE 10,Astra1,11895,1,29700,0,27
CANAL+LIVE 2,Astra1,12728,1,23500,0,27
CANAL+LIVE 3,Astra1,12090,1,29700,0,27
CANAL+LIVE 4,Astra1,11934,1,29700,0,27
CANAL+LIVE 5,Astra1,12012,1,29700,0,27
CANAL+LIVE 6,Astra1,12728,1,23500,0,27
CANAL+LIVE 7,Astra1,11895,1,29700,0,27
CANAL+LIVE 7,Astra1,11934,1,29700,0,27
CANAL+LIVE 8,Astra1,11895,1,29700,0,27
CANAL+LIVE 8,Astra1,12090,1,29700,0,27
CANAL+LIVE 9,Astra1,12207,1,29700,0,27
CANAL+SERIES,Astra1,12012,1,29700,0,27
CANAL+SERIES,Astra1,12363,1,27500,0,2
CANAL+SPORT,Astra1,12012,1,29700,0,27
CANAL+SPORT360,Astra1,12090,1,29700,0,27
CANAL+kids,Astra1,12012,1,29700,0,27
CAZA Y PESCA,Astra1,11156,1,22000,0,2
CAZAyPESCA HD,Astra1,11259,1,22000,0,27
CGTN Documentary,Astra1,11377,1,22000,0,27
CGTN Francais,Astra1,11377,1,22000,0,27
CGTN HD,Astra1,11377,1,22000,0,27
CHAINE DECOUVERTE 2,Astra1,12402,1,29700,0,27
CHAINE EVENEMENT,Astra1,12168,1,29700,0,27
CHAINE JEUNESSE 3,Astra1,12090,1,29700,0,27
